State,City,Trade Name,Dealer Name
West Bengal,Alipurduar,Rangeet Auto-ALIPURDUAR,Rangeet Auto
Orissa,Cuttack,Dion Automotives-SECTOR-11 CDA,Dion Automotives
Orissa,Malkangiri,Lankeswari Motors-MALKANGIRI,Lankeswari Motors
Haryana,Kurukshetra,Metro Motors-KURUKSHETRA,Metro Motors
Karnataka,Bengaluru,Key Motors-NELAMANGALA,Key Motors
Karnataka,Gangawati,Bellad Enterprises-GANGAWATI,Bellad Enterprises
Kerala,Pathanamthitta,MK Motors-PATHANAMTHITTA,MK Motors
Maharashtra,Akola,Mac Vehicles-AKOLA,Mac Vehicles
Jharkhand,Bokaro,Kraft Auto -BOKARO,Kraft Auto
Karnataka,Chikmagalur,Auto Matrix-CHIKMAGALUR,Auto Matrix
Karnataka,Hassan,Auto Matrix-HASSAN,Auto Matrix
Karnataka,Mangalore,Auto Matrix-MANGALORE,Auto Matrix
Karnataka,Puttur,Auto Matrix-PUTTUR,Auto Matrix
Karnataka,Sullia,Auto Matrix-SULLIA,Auto Matrix
Karnataka,Surathkal,Auto Matrix-SURATHKAL,Auto Matrix
Karnataka,Udupi,Auto Matrix-UDUPI,Auto Matrix
Maharashtra,Jalna,Satish Motors-JALNA EMO,Satish Motors
Orissa,Bhubaneswar,Gugnani Autocars-MANCHESWAR INDUSTRIAL ESTATE,Gugnani Autocars
Orissa,Cuttack,Gugnani Autocars-PRATAP NAGARI,Gugnani Autocars
Orissa,Jajpur,Gugnani Autocars-JAJPUR EMO,Gugnani Autocars
Kerala,Attingal,Derik-ATTINGAL EMO,Derik
Kerala,Thiruvananthapuram,Derik-NAGARCOIL MAIN ROAD,Derik
Kerala,Nedumangad,Derik-NEDUMANGAD EMO,Derik
Kerala,Venjaramoodu,Derik-VENJARAMOODU EMO,Derik
Rajasthan,Bandikui,Akar Fourwheel-BANDIKUI EMO,Akar Fourwheel
Rajasthan,Mahwa,Akar Fourwheel-MAHWA EMO,Akar Fourwheel
Rajasthan,Dausa,Akar Fourwheel-DAUSA EMO,Akar Fourwheel
Rajasthan,Jaipur,Akar Fourwheel-QUEENS ROAD,Akar Fourwheel
Uttar Pradesh,Lucknow,SRM Motors-AIRPORT ROAD,SRM Motors
Uttar Pradesh,Lucknow,SRM Motors-RING ROAD,SRM Motors
Uttar Pradesh,Raebareli,SRM Motors-RAEBARELLI EMO,SRM Motors
Uttar Pradesh,Lucknow,SRM Motors-CHARBAGH,SRM Motors
Uttar Pradesh,Mohanlal Ganj,SRM Motors-MOHANLAL GANJ EMO,SRM Motors
Uttar Pradesh,Ambedkar Nagar,Ananya Motors-AMBEDKAR NAGAR,Ananya Motors
Uttar Pradesh,Sultanpur,Ananya Motors-FAIZABAD ROAD,Ananya Motors
Gujarat,Anand,Progressive Cars-ANAND,Progressive Cars
Gujarat,Borsad,Progressive Cars-BORSAD EMO,Progressive Cars
Gujarat,Kapadvanj,Progressive Cars-KAPADVANJ EMO,Progressive Cars
Gujarat,Nadiad,Progressive Cars-NADIAD,Progressive Cars
Gujarat,Petlad,Progressive Cars-PETLAD EMO,Progressive Cars
Haryana,Rohtak,Rama Auto Cars-NORTHERN BYEPASS,Rama Auto Cars
Maharashtra,Navi Mumbai,Fortune Cars-NERUL,Fortune Cars
Maharashtra,Navi Mumbai,Fortune Cars-VASHI,Fortune Cars
Punjab,Jalandhar,Kosmo Vehicles-G.T ROAD,Kosmo Vehicles
Punjab,Kapurthala,Kosmo Vehicles-KAPURTHALA EMO,Kosmo Vehicles
Punjab,Hoshiarpur,Kosmo Vehicles-HOSHIARPUR EMO,Kosmo Vehicles
West Bengal,Chandan Nagar,T.C. Motors-Chandan Nagar emo,T.C. Motors
West Bengal,Howrah,T.C. Motors-SALAP MORE,T.C. Motors
West Bengal,Kolkata,T.C. Motors-NEW TOWN ROAD,T.C. Motors
Madhya Pradesh,Dhar,Sanghi Brothers-DHAR,Sanghi Brothers
Madhya Pradesh,Indore,Sanghi Brothers-MANORAMAGANJ,Sanghi Brothers
Madhya Pradesh,Agar,Sanghi Brothers-AGAR EMO,Sanghi Brothers
Madhya Pradesh,Nagda,Sanghi Brothers-NAGDA EMO,Sanghi Brothers
Madhya Pradesh,Shujalpur,Sanghi Brothers-SHUJALPUR EMO,Sanghi Brothers
Madhya Pradesh,Ujjain,Sanghi Brothers-CHACKKAMED,Sanghi Brothers
Uttar Pradesh,Auraiya,Society Motors-AURAIYA EMO,Society Motors
Uttar Pradesh,Kanpur,Society Motors-MACROBERTGANJ,Society Motors
Uttar Pradesh,Fatehpur,Society Motors-FATEHPUR,Society Motors
Uttar Pradesh,Kanpur,Society Motors-GT ROAD,Society Motors
Uttar Pradesh,Kannauj,Society Motors-KANNAUJ EMO,Society Motors
Uttar Pradesh,Unnao,Society Motors-UNNAO EMO,Society Motors
